method,auc_score_label,auc_neg_score_label,better_direction,auc_gap
TF-IDF pair similarity,0.23048170571202947,0.7695182942879705,negative_score,0.539036588575941
BM25 pair similarity,0.26491181889971044,0.7350881811002895,negative_score,0.47017636220057907
tfidf-svd pair similarity,0.22005790997630956,0.7799420900236904,negative_score,0.5598841800473808
KG-Enhanced pair score,0.20473808897078177,0.7952619110292182,negative_score,0.5905238220584363
DP-Embedding seed=3407,0.5133982627007108,0.4866017372992893,score,0.026796525401421467
DP-KER seed=3407,0.18131087128191628,0.8186891287180837,negative_score,0.6373782574361675
DP-Embedding seed=42,0.43774677546722823,0.5622532245327718,negative_score,0.12450644906554359
DP-KER seed=42,0.16509607791524086,0.8349039220847592,negative_score,0.6698078441695183
DP-Embedding seed=2026,0.4269544617004475,0.5730455382995525,negative_score,0.14609107659910503
DP-KER seed=2026,0.15572519083969466,0.8442748091603054,negative_score,0.6885496183206108
