feature,importance_mean,importance_std
tfidf_cosine,0.2602252890224423,0.43956293780937383
kg_skill_coverage,0.2061743141960958,0.43354922853686767
missing_skill_ratio,0.20570200130454794,0.4305132408616952
jd_length,0.10091267258428939,0.10283547533695797
embedding_cosine,0.08814891164176414,0.14618691134386613
bm25_score,0.07476748160383652,0.08008672396354895
requirement_coverage,0.054819952713119444,0.07840683887473479
resume_length,0.05408719959570087,0.05778761550910696
dp_embedding_cosine,0.040978549215892494,0.04423209050737739
skill_overlap_count,0.013850359007635588,0.013042153679792362
