Method,NegativeType,seeds,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,MRR_mean,MRR_std,Hit@1_mean,Hit@1_std,Consistency_mean,Consistency_std,epsilon,sigma
TF-IDF+Cosine,random,3407;42;2026,0.24637681159420288,0.040991697460089724,0.16442575879185764,0.013760556998766235,0.21217976509065484,0.004779700763087404,0.08695652173913043,0.0,0.3696150938717402,0.003183729643057377,,
BM25,random,3407;42;2026,0.2753623188405797,0.0542269186488977,0.14602609737990588,0.01793533586163329,0.1652055755972838,0.006150409771007213,0.028985507246376812,0.020495848730044855,0.3603205407670423,0.003177459884385661,,
Embedding,random,3407;42;2026,0.3188405797101449,0.08933933337636198,0.19817697580184324,0.02926124295093804,0.22708258068838227,0.01567855549928661,0.10144927536231885,0.020495848730044855,0.3733761850171506,0.0014377834936517284,,
KG-Enhanced,random,3407;42;2026,0.2318840579710145,0.020495848730044855,0.12435465500294224,0.009098455340426751,0.15430605281359086,0.0036884866909045037,0.043478260869565216,0.0,0.4147128502258961,0.003006896024716079,,
DP-Embedding,random,3407;42;2026,0.31884057971014496,0.1246713806817772,0.20325014258105648,0.09121035283050151,0.22505137241474568,0.06969666791095232,0.10144927536231885,0.0542269186488977,0.3465660372011698,0.005764112529697985,2.0,2.4224026313026945
DP-KER,random,3407;42;2026,0.34782608695652173,0.12799653429460645,0.1702458850780648,0.06571818082412242,0.16796495832032243,0.04266193049230175,0.014492753623188406,0.020495848730044855,0.35910963065979024,0.04700744547581506,2.0,2.4224026313026945
TF-IDF+Cosine,hard,,0.08695652173913043,0.0,0.04046419817710405,0.0,0.07631052074113052,0.0,0.0,0.0,0.3759054864063446,0.0,,
BM25,hard,,0.4782608695652174,0.0,0.4214146115311439,0.0,0.4510907951697425,0.0,0.34782608695652173,0.0,0.35074603173077457,0.0,,
Embedding,hard,,0.13043478260869565,0.0,0.06599054612199996,0.0,0.09384473586418668,0.0,0.0,0.0,0.3755177301659339,0.0,,
KG-Enhanced,hard,,0.17391304347826086,0.0,0.10568158948145187,0.0,0.14245729218807696,0.0,0.043478260869565216,0.0,0.41421647874475037,0.0,,
DP-Embedding,hard,3407;42;2026,0.27536231884057977,0.08933933337636198,0.1839759835726623,0.09821697532317512,0.22243579390402649,0.0978714529697012,0.08695652173913043,0.09392377823779507,0.3561300349353003,0.0051576756012984525,2.0,2.4224026313026945
DP-KER,hard,3407;42;2026,0.3768115942028985,0.22545433603049342,0.21851605102189706,0.16358037520933677,0.21813115480163536,0.128399377328315,0.07246376811594203,0.10247924365022427,0.37292567167969265,0.033360501549342156,2.0,2.4224026313026945
