threshold,Method,positive_count,negative_count,total_count,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Precision_mean,Precision_std,Recall_mean,Recall_std,epsilon,sigma,seeds
6.5,TF-IDF pair similarity,36,58,94,0.6192528735632185,0.0,0.6063829787234043,0.0,0.44776119402985076,0.0,0.4838709677419355,0.0,0.4166666666666667,0.0,,,
6.5,BM25 pair similarity,36,58,94,0.6508620689655171,0.0,0.6170212765957447,0.0,0.14285714285714285,0.0,0.5,0.0,0.08333333333333333,0.0,,,
6.5,DP-Embedding pair similarity,36,58,94,0.5569923371647509,0.04921700398645963,0.5354609929078014,0.02653657721116269,0.5155705639754045,0.05580964511398704,0.4279202279202279,0.025444004058992716,0.6574074074074074,0.1289665581220752,2.0,2.4224026313026945,3407;42;2026
6.5,DP-KER full pair score,36,58,94,0.5694444444444444,0.043375754017220165,0.5035460992907802,0.061624635450293494,0.49661936079381563,0.021921043490304618,0.4119457485654669,0.03885275731056715,0.638888888888889,0.0785674201318386,2.0,2.4224026313026945,3407;42;2026
7.0,TF-IDF pair similarity,23,71,94,0.6509491733006736,0.0,0.6808510638297872,0.0,0.4444444444444444,0.0,0.3870967741935484,0.0,0.5217391304347826,0.0,,,
7.0,BM25 pair similarity,23,71,94,0.7274954072259645,0.0,0.7553191489361702,0.0,0.20689655172413793,0.0,0.5,0.0,0.13043478260869565,0.0,,,
7.0,DP-Embedding pair similarity,23,71,94,0.5499081445192896,0.06628886179792551,0.47517730496453897,0.02653657721116269,0.37542087542087543,0.041459967528702873,0.26465915037343607,0.022843646505725478,0.6521739130434782,0.12297509238026916,2.0,2.4224026313026945,3407;42;2026
7.0,DP-KER full pair score,23,71,94,0.559297815880792,0.008082869921707824,0.4716312056737588,0.061624635450293515,0.3747568659959148,0.027711989756903702,0.26574508781081546,0.019700376748770898,0.6521739130434782,0.12297509238026916,2.0,2.4224026313026945,3407;42;2026
7.5,TF-IDF pair similarity,15,79,94,0.6514767932489451,0.0,0.6808510638297872,0.0,0.34782608695652173,0.0,0.25806451612903225,0.0,0.5333333333333333,0.0,,,
7.5,BM25 pair similarity,15,79,94,0.6666666666666666,0.0,0.8404255319148937,0.0,0.2857142857142857,0.0,0.5,0.0,0.2,0.0,,,
7.5,DP-Embedding pair similarity,15,79,94,0.559774964838256,0.022149107943774456,0.46808510638297873,0.05211680303793997,0.2994047619047619,0.010943319232648956,0.1901717330288759,0.009901853918613871,0.7111111111111111,0.06285393610547094,2.0,2.4224026313026945,3407;42;2026
7.5,DP-KER full pair score,15,79,94,0.5451476793248945,0.03856703194499755,0.5070921985815603,0.08070784877121308,0.24429912810194498,0.03636681388884439,0.16361788617886178,0.02906575131316076,0.48888888888888893,0.03142696805273544,2.0,2.4224026313026945,3407;42;2026
