threshold,Method,NegativeType,positive_count,negative_count,total_count,seeds,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,MRR_mean,MRR_std,Hit@1_mean,Hit@1_std,epsilon,sigma
6.5,TF-IDF+Cosine,random,36,58,94,3407;42;2026,0.24074074074074073,0.03464497580346242,0.15913542348362908,0.00879030842671184,0.20749117961342764,0.006399733351145142,0.07407407407407407,0.013094570021973102,,
6.5,BM25,random,36,58,94,3407;42;2026,0.23148148148148148,0.013094570021973107,0.1377150495182261,0.015886220371430806,0.17653764754082948,0.016911933843613204,0.0462962962962963,0.026189140043946204,,
6.5,DP-Embedding,random,36,58,94,3407;42;2026,0.29629629629629634,0.06928995160692485,0.1974944592326812,0.0405263327055335,0.23221213508236213,0.02312719384825875,0.10185185185185185,0.013094570021973102,2.0,2.4224026313026945
6.5,DP-KER,random,36,58,94,3407;42;2026,0.3333333333333333,0.060006858318591295,0.19428002674584663,0.020782509168556694,0.20810893215003978,0.006758859652134863,0.06481481481481481,0.013094570021973102,2.0,2.4224026313026945
6.5,TF-IDF+Cosine,hard,36,58,94,3407,0.1111111111111111,0.0,0.07671831964285875,0.0,0.11593675526209063,0.0,0.027777777777777776,0.0,,
6.5,BM25,hard,36,58,94,3407,0.6111111111111112,0.0,0.47590934874635693,0.0,0.4713001119251119,0.0,0.3333333333333333,0.0,,
6.5,DP-Embedding,hard,36,58,94,3407;42;2026,0.27777777777777773,0.060006858318591295,0.16964522654488712,0.04147090717561127,0.20368097408108587,0.042961702571921244,0.06481481481481481,0.034644975803462416,2.0,2.4224026313026945
6.5,DP-KER,hard,36,58,94,3407;42;2026,0.3703703703703704,0.1163870841664494,0.21013781194741452,0.08067897298116215,0.21058984735562825,0.06374320000771716,0.06481481481481481,0.05707790743489793,2.0,2.4224026313026945
7.0,TF-IDF+Cosine,random,23,71,94,3407;42;2026,0.24637681159420288,0.040991697460089724,0.16442575879185764,0.013760556998766235,0.21217976509065484,0.004779700763087404,0.08695652173913043,0.0,,
7.0,BM25,random,23,71,94,3407;42;2026,0.2753623188405797,0.0542269186488977,0.14602609737990588,0.01793533586163329,0.1652055755972838,0.006150409771007213,0.028985507246376812,0.020495848730044855,,
7.0,DP-Embedding,random,23,71,94,3407;42;2026,0.31884057971014496,0.1246713806817772,0.20325014258105648,0.09121035283050151,0.22505137241474568,0.06969666791095232,0.10144927536231885,0.0542269186488977,2.0,2.4224026313026945
7.0,DP-KER,random,23,71,94,3407;42;2026,0.34782608695652173,0.12799653429460645,0.1702458850780648,0.06571818082412242,0.16796495832032243,0.04266193049230175,0.014492753623188406,0.020495848730044855,2.0,2.4224026313026945
7.0,TF-IDF+Cosine,hard,23,71,94,3407,0.08695652173913043,0.0,0.04046419817710405,0.0,0.07631052074113052,0.0,0.0,0.0,,
7.0,BM25,hard,23,71,94,3407,0.4782608695652174,0.0,0.4214146115311439,0.0,0.4510907951697425,0.0,0.34782608695652173,0.0,,
7.0,DP-Embedding,hard,23,71,94,3407;42;2026,0.27536231884057977,0.08933933337636198,0.1839759835726623,0.09821697532317512,0.22243579390402649,0.0978714529697012,0.08695652173913043,0.09392377823779507,2.0,2.4224026313026945
7.0,DP-KER,hard,23,71,94,3407;42;2026,0.3768115942028985,0.22545433603049342,0.21851605102189706,0.16358037520933677,0.21813115480163536,0.128399377328315,0.07246376811594203,0.10247924365022427,2.0,2.4224026313026945
7.5,TF-IDF+Cosine,random,15,79,94,3407;42;2026,0.2888888888888889,0.03142696805273544,0.1901781812979446,0.031166665361961443,0.22779832673537523,0.04059331439291192,0.1111111111111111,0.0628539361054709,,
7.5,BM25,random,15,79,94,3407;42;2026,0.3333333333333333,0.054433105395181744,0.1911400091178058,0.032116686140914764,0.20142571881735968,0.03679020109721491,0.06666666666666667,0.05443310539518174,,
7.5,DP-Embedding,random,15,79,94,3407;42;2026,0.26666666666666666,0.05443310539518172,0.17368330418902245,0.04633323817986277,0.21532924181272994,0.038410567476901844,0.06666666666666667,0.05443310539518174,2.0,2.4224026313026945
7.5,DP-KER,random,15,79,94,3407;42;2026,0.35555555555555557,0.11331154474650633,0.22032668441255077,0.07747569412534332,0.23403392311545046,0.06644340254094011,0.08888888888888889,0.08314794192830981,2.0,2.4224026313026945
7.5,TF-IDF+Cosine,hard,15,79,94,3407,0.06666666666666667,0.0,0.03333333333333333,0.0,0.0741895998165348,0.0,0.0,0.0,,
7.5,BM25,hard,15,79,94,3407,0.6,0.0,0.39774944531235945,0.0,0.365022385022385,0.0,0.2,0.0,,
7.5,DP-Embedding,hard,15,79,94,3407;42;2026,0.3111111111111111,0.08314794192830982,0.20101401226969426,0.07982026940281958,0.23219294770894353,0.07273500345503033,0.08888888888888889,0.08314794192830982,2.0,2.4224026313026945
7.5,DP-KER,hard,15,79,94,3407;42;2026,0.4888888888888889,0.2199887763691481,0.32777806054841596,0.1736636635371044,0.3231456038705781,0.1476609344817013,0.17777777777777778,0.1257078722109418,2.0,2.4224026313026945
