Method,NegativeType,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,MRR_mean,MRR_std,Hit@1_mean,Hit@1_std,runs
BM25,hard,0.36000000000000004,0.14767331311854354,0.1883871530119394,0.09279552566276905,0.19673911819938653,0.06290791745664082,0.022222222222222223,0.03142696805273545,15
BM25,random,0.42666666666666675,0.05987641593469991,0.24601087869654706,0.041764634180265395,0.23993740710613773,0.03882225117652001,0.07111111111111111,0.04532461789860253,15
DP-Embedding,hard,0.0022222222222222222,0.00831479419283098,0.0008596729049656481,0.00321660147507413,0.08649382716049385,0.047792744756458956,0.0,0.0,15
DP-Embedding,random,0.0022222222222222222,0.00831479419283098,0.0008596729049656481,0.00321660147507413,0.08666137566137569,0.04798098630108187,0.0,0.0,15
DP-KER-v1,hard,0.04666666666666666,0.1080466291657175,0.01834528934320429,0.04284487764997087,0.08716266512602942,0.04789882459570442,0.0,0.0,15
DP-KER-v1,random,0.10222222222222221,0.1512744215566001,0.040478094625391856,0.05957308432333537,0.09017014759120022,0.051315816240256676,0.0,0.0,15
DP-KER-v2,hard,0.3222222222222222,0.0986326267607651,0.2046762089607393,0.06744503748352647,0.22622478093324322,0.05807108211799511,0.08444444444444445,0.06425258797689316,15
DP-KER-v2,random,0.3844444444444444,0.09802997777827901,0.24270662527503814,0.073980162500228,0.25139489652647545,0.06310675451913991,0.10666666666666669,0.06347936380926979,15
Embedding,hard,0.16666666666666663,0.03849001794597505,0.10105455973947809,0.029043380877799976,0.14911337897664007,0.02449468360777928,0.035555555555555556,0.03325917677132392,15
Embedding,random,0.2644444444444445,0.07248669524577818,0.16224315105597634,0.049917321589098174,0.19551417080416045,0.04237157453173,0.06666666666666667,0.043885372573625556,15
KG-only,hard,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15
KG-only,random,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15
TF-IDF,hard,0.20666666666666667,0.062301536750560826,0.1372195518245362,0.044115712267935626,0.18253518169901037,0.03645203007170354,0.07333333333333333,0.04745368112013916,15
TF-IDF,random,0.28222222222222226,0.07588164923983942,0.17674305814962674,0.05424265394338916,0.2070077029094057,0.04685669723648143,0.07777777777777778,0.05533288710217214,15
